馬名,系統,category,距離,成長,ダート,体質,気性,実績,底力,安定,非凡,天性,父,父父,父父父,父父父父,父父母父,父母父,父母父父,父母母父,母父,母父父,母父父父,母父母父,母母父,母母父父,母母母父,pa:父,pa:父父,pa:父父父,pa:父父父父,pa:父父母父,pa:父母父,pa:父母父父,pa:父母母父,pa:母父,pa:母父父,pa:母父父父,pa:母父母父,pa:母母父,pa:母母父父,pa:母母母父,chi:父,chi:父父,chi:父父父,chi:父父父父,chi:父父母父,chi:父母父,chi:父母父父,chi:父母母父,chi:母父,chi:母父父,chi:母父父父,chi:母父母父,chi:母母父,chi:母母父父,chi:母母母父
セントパディ-極煌-,オリオール系,11,1200m〜3200m,普通,△,A,B,A,A,B,Holy Shower,,Aureole,ハイペリオン,Gainsborough,Bayardo,Chaucer,Donatello,Blenheim,Friar Marcus,Bois Roussel,Vatout,Prince Chimay,Spearmint,Caerleon,Phalaris,Abbots Trace,Hampton,Hampton,Hampton,Hampton,St.Simon,Swynford,Swynford,Eclipse,St.Simon,St.Simon,St.Simon,Eclipse,Phalaris,Phalaris,Eclipse,オリオール系,ハイペリオン系,ハンプトン系,ハンプトン系,セントサイモン系,ブレニム系,ブレニム系,エクリプス系,ボワルセル系,セントサイモン系,セントサイモン系,エクリプス系,ファラリス系,ファラリス系,エクリプス系
セントパディ-瓏覇-,オリオール系,12,1200m〜3200m,普通,△,A,B,A,A,B,Divine,,Aureole,ハイペリオン,Gainsborough,Bayardo,Chaucer,Donatello,Blenheim,Friar Marcus,Bois Roussel,Vatout,Prince Chimay,Spearmint,Caerleon,Phalaris,Abbots Trace,Hampton,Hampton,Hampton,Hampton,St.Simon,Swynford,Swynford,Eclipse,St.Simon,St.Simon,St.Simon,Eclipse,Phalaris,Phalaris,Eclipse,オリオール系,ハイペリオン系,ハンプトン系,ハンプトン系,セントサイモン系,ブレニム系,ブレニム系,エクリプス系,ボワルセル系,セントサイモン系,セントサイモン系,エクリプス系,ファラリス系,ファラリス系,エクリプス系
セントマークスバシリカ-瞬走-,ノーザンダンサー系,11,1400m〜2100m,普通,△,A,B,A,A,B,Raffinement,,シユーニ,Pivotal,polar falcon,ヌレイエフ,コジーン,デインヒル,ダンチヒ,Conquistador Cielo,ガリレオ,サドラーズウェルズ,ノーザンダンサー,ミスワキ,リアファン,ロベルト,Lomond,Nearctic,Nearctic,Nearctic,Nearctic,Nasrullah,Nearctic,Nearctic,Native Dancer,Nearctic,Nearctic,Nearctic,Native Dancer,Royal Charger,Royal Charger,Nearctic,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,フォルティノ系,ノーザンダンサー系,ノーザンダンサー系,レイズアネイティヴ系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,レイズアネイティヴ系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ノーザンダンサー系
セントライト1941,エクリプス系,11,2000m〜3200m,普通,〇,A,A,A,A,A,初代三冠,,ダイオライト,Diophon,Grand Parade,Orby,Donovan,Rock Sand,Sainfoin,Isinglass,Flamboyant,Tracery,Rock Sand,St.Simon,Robert Le Diable,Ayrshire,Donovan,Eclipse,Eclipse,Eclipse,Eclipse,Eclipse,Eclipse,Eclipse,Eclipse,Eclipse,Eclipse,Eclipse,St.Simon,Hampton,Hampton,Eclipse,エクリプス系,エクリプス系,エクリプス系,エクリプス系,エクリプス系,エクリプス系,エクリプス系,エクリプス系,エクリプス系,エクリプス系,エクリプス系,セントサイモン系,ハンプトン系,ハンプトン系,エクリプス系
ゼダーン1968,ゼダーン系,7,1000m〜2400m,早熟,〇,B,B,A,A,A,Secret,,Grey Sovereign,ナスルーラ,ネアルコ,Pharos,Blenheim,Baytown,Achtoi,Hainault,Vilmorin,Gold Bridge,Golden Boss,Fairway,Mon Talisman,Craig an Eran,Alcantara,Nasrullah,Nasrullah,Phalaris,Phalaris,Swynford,Eclipse,Eclipse,Swynford,Eclipse,Eclipse,Eclipse,Fairway,Eclipse,Eclipse,Eclipse,グレイソヴリン系,ナスルーラ系,ネアルコ系,ファロス系,ブレニム系,エクリプス系,エクリプス系,スインフォード系,エクリプス系,エクリプス系,エクリプス系,フェアウェイ系,エクリプス系,エクリプス系,エクリプス系
ゼンノロブロイ2004,ヘイルトゥリーズン系,5,1600m〜2500m,晩成,〇,B,A,A,A,B,百折不撓,,サンデーサイレンス,ヘイロー,ヘイルトゥリーズン,Turn-to,Cosmic Bomb,アンダースタンディング,Promised Land,Montparnasse,マイニング,ミスタープロスペクター,Raise a Native,バックパサー,Clever Trick,アイスカペイド,ピアスター,Royal Charger,Royal Charger,Royal Charger,Royal Charger,Phalaris,Teddy,Teddy,Hampton,Native Dancer,Native Dancer,Native Dancer,Tom Fool,Nearctic,Nearctic,Hampton,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ロイヤルチャージャー系,ファラリス系,テディ系,テディ系,ハイペリオン系,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,トムフール系,ニアークティック系,ニアークティック系,ハイペリオン系
ソットサス-剛健-,ノーザンダンサー系,11,2100m〜2400m,普通,△,A,A,A,B,B,Prestance,,シユーニ,Pivotal,polar falcon,ヌレイエフ,コジーン,デインヒル,ダンチヒ,Conquistador Cielo,ガリレオ,サドラーズウェルズ,ノーザンダンサー,ミスワキ,Green Tune,グリーンダンサー,ミスワキ,Nearctic,Nearctic,Nearctic,Nearctic,Nasrullah,Nearctic,Nearctic,Native Dancer,Nearctic,Nearctic,Nearctic,Native Dancer,Nearctic,Nearctic,Native Dancer,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,フォルティノ系,ノーザンダンサー系,ノーザンダンサー系,レイズアネイティヴ系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,レイズアネイティヴ系,ノーザンダンサー系,ノーザンダンサー系,レイズアネイティヴ系
ソヴィエトスター-覇魂-,ノーザンダンサー系,12,1100m〜2700m,普通,◎,A,A,A,A,B,英魂星頼,,ヌレイエフ,ノーザンダンサー,ニアークティック,ネアルコ,ネイティヴダンサー,フォルリ,Aristophanes,Nantallah,ヴェンチア,Relic,War Relic,Pherozshah,Vandale,Plassy,Panipat,Nearctic,Nearctic,Nearctic,Phalaris,Native Dancer,Hampton,Hampton,Nasrullah,Matchem,Matchem,Matchem,Phalaris,Hampton,Hampton,Phalaris,ノーザンダンサー系,ノーザンダンサー系,ニアークティック系,ネアルコ系,ネイティヴダンサー系,ハイペリオン系,ハイペリオン系,ナスルーラ系,レリック系,レリック系,マンノウォー系,ファロス系,サンインロー系,サンインロー系,ファロス系
ソードダンサー-砂覇-,テディ系,5,1600m〜2400m,普通,◎,A,B,A,A,B,,,Sunglow,Sun Again,Sun Teddy,Teddy,Stimulus,Mad Hatter,Fair Play,St.Frusquin,By Jimminy,Pharamond,Phalaris,Blue Larkspur,Royal Minstrel,Tetratema,Man o'War,Teddy,Teddy,Teddy,Teddy,Himyar,Matchem,Matchem,St.Simon,Phalaris,Phalaris,Phalaris,Himyar,Herod,Herod,Matchem,テディ系,テディ系,テディ系,テディ系,ヒムヤー系,マッチェム系,マッチェム系,セントサイモン系,ファラリス系,ファラリス系,ファラリス系,ヒムヤー系,ヘロド系,ヘロド系,マンノウォー系
タイキシャトル-瞬発-,ヘイルトゥリーズン系,11,1200m〜1800m,普通,◎,B,A,A,A,A,心身一如,,デヴィルズバッグ,ヘイロー,ヘイルトゥリーズン,Turn-to,Cosmic Bomb,エルバジェ,Vandale,Cohoes,カーリアン,ニジンスキー,ノーザンダンサー,ラウンドテーブル,Thatch,フォルリ,Roan Rocket,Royal Charger,Royal Charger,Royal Charger,Royal Charger,Phalaris,Hampton,Hampton,Swynford,Nearctic,Nearctic,Nearctic,St.Simon,Hampton,Hampton,Matchem,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ロイヤルチャージャー系,ファラリス系,サンインロー系,サンインロー系,ブレニム系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,プリンスキロ系,ハイペリオン系,ハイペリオン系,レリック系
タイキシャトル-瞬走-,ヘイルトゥリーズン系,7,1200m〜1800m,普通,◎,B,A,A,A,A,永垂不朽,,デヴィルズバッグ,ヘイロー,ヘイルトゥリーズン,Turn-to,Cosmic Bomb,エルバジェ,Vandale,Cohoes,カーリアン,ニジンスキー,ノーザンダンサー,ラウンドテーブル,Thatch,フォルリ,Roan Rocket,Royal Charger,Royal Charger,Royal Charger,Royal Charger,Phalaris,Hampton,Hampton,Swynford,Nearctic,Nearctic,Nearctic,St.Simon,Hampton,Hampton,Matchem,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ロイヤルチャージャー系,ファラリス系,サンインロー系,サンインロー系,ブレニム系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,プリンスキロ系,ハイペリオン系,ハイペリオン系,レリック系
タイキシャトル1998,ヘイルトゥリーズン系,5,1200m〜1800m,早熟,〇,B,B,A,A,B,一意専心,,デヴィルズバッグ,ヘイロー,ヘイルトゥリーズン,Turn-to,Cosmic Bomb,エルバジェ,Vandale,Cohoes,カーリアン,ニジンスキー,ノーザンダンサー,ラウンドテーブル,Thatch,フォルリ,Roan Rocket,Royal Charger,Royal Charger,Royal Charger,Royal Charger,Phalaris,Hampton,Hampton,Swynford,Nearctic,Nearctic,Nearctic,St.Simon,Hampton,Hampton,Matchem,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ロイヤルチャージャー系,ファラリス系,サンインロー系,サンインロー系,ブレニム系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,プリンスキロ系,ハイペリオン系,ハイペリオン系,レリック系
タイキブリザード,ボールドルーラー系,5,1400m〜2000m,晩成,〇,A,C,B,B,B,,,シアトルスルー,Bold Reasoning,Boldnesian,ボールドルーラー,ヘイルトゥリーズン,Poker,ラウンドテーブル,Jet Action,ササフラ,Sheshoon,Precipitation,ラティフィケイション,ヘイルトゥリーズン,Turn-to,キングスベンチ,Nasrullah,Nasrullah,Nasrullah,Nasrullah,Royal Charger,St.Simon,St.Simon,Swynford,Matchem,Matchem,Matchem,Fairway,Royal Charger,Royal Charger,Fairway,ボールドルーラー系,ボールドルーラー系,ボールドルーラー系,ボールドルーラー系,ヘイルトゥリーズン系,プリンスキロ系,プリンスキロ系,ブレニム系,マッチェム系,マッチェム系,マッチェム系,フェアトライアル系,ヘイルトゥリーズン系,ロイヤルチャージャー系,フェアトライアル系
タイキブリザード-覇走-,ボールドルーラー系,5,1400m〜2000m,晩成,〇,A,C,B,B,B,,,シアトルスルー,Bold Reasoning,Boldnesian,ボールドルーラー,ヘイルトゥリーズン,Poker,ラウンドテーブル,Jet Action,ササフラ,Sheshoon,Precipitation,ラティフィケイション,ヘイルトゥリーズン,Turn-to,キングスベンチ,Nasrullah,Nasrullah,Nasrullah,Nasrullah,Royal Charger,St.Simon,St.Simon,Swynford,Matchem,Matchem,Matchem,Fairway,Royal Charger,Royal Charger,Fairway,ボールドルーラー系,ボールドルーラー系,ボールドルーラー系,ボールドルーラー系,ヘイルトゥリーズン系,プリンスキロ系,プリンスキロ系,ブレニム系,マッチェム系,マッチェム系,マッチェム系,フェアトライアル系,ヘイルトゥリーズン系,ロイヤルチャージャー系,フェアトライアル系
タイキブリザード1997,ボールドルーラー系,5,1400m〜2000m,晩成,〇,A,C,B,B,B,大吹雪,,シアトルスルー,Bold Reasoning,Boldnesian,ボールドルーラー,ヘイルトゥリーズン,Poker,ラウンドテーブル,Jet Action,ササフラ,Sheshoon,Precipitation,ラティフィケイション,ヘイルトゥリーズン,Turn-to,キングスベンチ,Nasrullah,Nasrullah,Nasrullah,Nasrullah,Royal Charger,St.Simon,St.Simon,Swynford,Matchem,Matchem,Matchem,Fairway,Royal Charger,Royal Charger,Fairway,ボールドルーラー系,ボールドルーラー系,ボールドルーラー系,ボールドルーラー系,ヘイルトゥリーズン系,プリンスキロ系,プリンスキロ系,ブレニム系,マッチェム系,マッチェム系,マッチェム系,フェアトライアル系,ヘイルトゥリーズン系,ロイヤルチャージャー系,フェアトライアル系
タイテエム-天煌-,オリオール系,12,1200m〜3200m,普通,△,B,A,A,A,A,山泊梁星,,セントクレスピン,Aureole,ハイペリオン,Gainsborough,Donatello,ネアルコ,Pharos,Blandford,ヴェンチア,Relic,War Relic,Pherozshah,Tulyar,Tehran,Mieuxce,Hampton,Hampton,Hampton,Hampton,Swynford,Phalaris,Phalaris,Swynford,Matchem,Matchem,Matchem,Phalaris,St.Simon,St.Simon,St.Simon,オリオール系,オリオール系,ハイペリオン系,ハンプトン系,ブレニム系,ネアルコ系,ファロス系,ブランドフォード系,レリック系,レリック系,マンノウォー系,ファロス系,ボワルセル系,ボワルセル系,セントサイモン系
タイテエム-瓏覇-,オリオール系,12,1200m〜3200m,普通,△,B,A,A,A,A,艶麗流星,,セントクレスピン,Aureole,ハイペリオン,Gainsborough,Donatello,ネアルコ,Pharos,Blandford,ヴェンチア,Relic,War Relic,Pherozshah,Tulyar,Tehran,Mieuxce,Hampton,Hampton,Hampton,Hampton,Swynford,Phalaris,Phalaris,Swynford,Matchem,Matchem,Matchem,Phalaris,St.Simon,St.Simon,St.Simon,オリオール系,オリオール系,ハイペリオン系,ハンプトン系,ブレニム系,ネアルコ系,ファロス系,ブランドフォード系,レリック系,レリック系,マンノウォー系,ファロス系,ボワルセル系,ボワルセル系,セントサイモン系
タイテエム-覇煌-,オリオール系,11,1200m〜3200m,普通,△,B,A,A,A,A,無冠風采,,セントクレスピン,Aureole,ハイペリオン,Gainsborough,Donatello,ネアルコ,Pharos,Blandford,ヴェンチア,Relic,War Relic,Pherozshah,Tulyar,Tehran,Mieuxce,Hampton,Hampton,Hampton,Hampton,Swynford,Phalaris,Phalaris,Swynford,Matchem,Matchem,Matchem,Phalaris,St.Simon,St.Simon,St.Simon,オリオール系,オリオール系,ハイペリオン系,ハンプトン系,ブレニム系,ネアルコ系,ファロス系,ブランドフォード系,レリック系,レリック系,マンノウォー系,ファロス系,ボワルセル系,ボワルセル系,セントサイモン系
タイトスポット,リボー系,5,1600m〜2000m,普通,△,B,B,A,A,B,,,ヒズマジェスティ,Ribot,Tenerani,Bellini,El Greco,アリバイ,ハイペリオン,Beau Pere,リファール,ノーザンダンサー,ニアークティック,コートマーシャル,ネヴァーベンド,ナスルーラ,Dumpty Humpty,St.Simon,St.Simon,St.Simon,St.Simon,Phalaris,Hampton,Hampton,Hampton,Nearctic,Nearctic,Nearctic,Fairway,Nasrullah,Nasrullah,Hampton,リボー系,リボー系,セントサイモン系,セントサイモン系,ファロス系,ハイペリオン系,ハイペリオン系,サンインロー系,ノーザンダンサー系,ノーザンダンサー系,ニアークティック系,フェアトライアル系,ネヴァーベンド系,ナスルーラ系,ハイペリオン系
タイトスポット-堅忍-,リボー系,5,1600m〜2000m,普通,△,B,B,A,A,B,,,ヒズマジェスティ,Ribot,Tenerani,Bellini,El Greco,アリバイ,ハイペリオン,Beau Pere,リファール,ノーザンダンサー,ニアークティック,コートマーシャル,ネヴァーベンド,ナスルーラ,Dumpty Humpty,St.Simon,St.Simon,St.Simon,St.Simon,Phalaris,Hampton,Hampton,Hampton,Nearctic,Nearctic,Nearctic,Fairway,Nasrullah,Nasrullah,Hampton,リボー系,リボー系,セントサイモン系,セントサイモン系,ファロス系,ハイペリオン系,ハイペリオン系,サンインロー系,ノーザンダンサー系,ノーザンダンサー系,ニアークティック系,フェアトライアル系,ネヴァーベンド系,ナスルーラ系,ハイペリオン系
タイトルホルダー-極煌-,レイズアネイティヴ系,11,2000m〜3200m,普通,△,B,A,A,A,B,煉誇芙蓉,,ドゥラメンテ,キングカメハメハ,キングマンボ,ミスタープロスペクター,ラストタイクーン,サンデーサイレンス,ヘイロー,トニービン,Motivator,モンジュー,サドラーズウェルズ,ゴーンウェスト,シャーリーハイツ,ミルリーフ,ビーマイゲスト,Native Dancer,Native Dancer,Native Dancer,Native Dancer,Nearctic,Royal Charger,Royal Charger,Nasrullah,Nearctic,Nearctic,Nearctic,Native Dancer,Nasrullah,Nasrullah,Nearctic,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,ノーザンダンサー系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ゼダーン系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,レイズアネイティヴ系,ネヴァーベンド系,ネヴァーベンド系,ノーザンダンサー系
